"Cage","Counter","Sample_Order","Date","Week","Temperature","Richness","Composition","AOP2","AOP2.gsoh","Col","gsm1","No_Plants","Mummy_raw","Ptoids_raw","BRBR_Survival","BRBR","LYER_Survival","LYER","Mummy_Ptoids_Survival","Mummy_Ptoids"
"59","MAB","57","2018-06-05","1","23 C","2","Col_gsm1","0","0","1","1","8","NA","NA","1","34","1","35","NA","0"
"3","MAB","58","2018-06-05","1","20 C","2","gsm1_AOP2.gsoh","0","1","0","1","8","NA","NA","1","24","1","19","NA","0"
"1","MAB","59","2018-06-05","1","20 C","2","AOP2_AOP2.gsoh","1","1","0","0","8","NA","NA","1","19","1","6","NA","0"
"16","MAB","60","2018-06-05","1","20 C","2","Col_gsm1","0","0","1","1","8","NA","NA","1","35","1","31","NA","0"
"37","DTV","1","2018-06-11","2","23 C","2","gsm1_AOP2.gsoh","0","1","0","1","8","NA","NA","1","63","1","476","NA","0"
"44","DTV","2","2018-06-11","2","23 C","1","AOP2","1","0","0","0","8","NA","NA","1","174","1","297","NA","0"
"54","DTV","3","2018-06-11","2","23 C","1","AOP2.gsoh","0","1","0","0","8","NA","NA","1","43","1","414","NA","0"
"27","DTV","4","2018-06-11","2","20 C","2","Col_AOP2","1","0","1","0","8","NA","NA","1","32","1","154","NA","0"
"16","DTV","5","2018-06-11","2","20 C","2","Col_gsm1","0","0","1","1","8","NA","NA","1","120","1","142","NA","0"
"48","DTV","6","2018-06-11","2","23 C","2","AOP2_AOP2.gsoh","1","1","0","0","8","NA","NA","1","128","1","433","NA","0"
"42","DTV","7","2018-06-11","2","23 C","2","Col_AOP2","1","0","1","0","8","NA","NA","1","174","1","400","NA","0"
"22","DTV","8","2018-06-11","2","20 C","1","AOP2.gsoh","0","1","0","0","8","NA","NA","1","38","1","39","NA","0"
"30","DTV","9","2018-06-11","2","20 C","2","Col_gsm1","0","0","1","1","8","NA","NA","1","71","1","77","NA","0"
"59","DTV","10","2018-06-11","2","23 C","2","Col_gsm1","0","0","1","1","8","NA","NA","1","181","1","496","NA","0"
"43","DTV","11","2018-06-11","2","23 C","4","Poly","1","1","1","1","8","NA","NA","1","217","1","408","NA","0"
"51","DTV","12","2018-06-11","2","23 C","1","gsm1","0","0","0","1","8","NA","NA","1","170","1","288","NA","0"
"35","DTV","13","2018-06-11","2","23 C","2","AOP2_AOP2.gsoh","1","1","0","0","8","NA","NA","1","196","1","306","NA","0"
"5","DTV","14","2018-06-11","2","20 C","1","gsm1","0","0","0","1","8","NA","NA","1","73","1","110","NA","0"
"33","DTV","15","2018-06-11","2","23 C","1","Col","0","0","1","0","8","NA","NA","1","111","1","516","NA","0"
"58","DTV","16","2018-06-11","2","23 C","2","Col_AOP2.gsoh","0","1","1","0","8","NA","NA","1","152","1","251","NA","0"
"34","DTV","17","2018-06-11","2","23 C","2","Col_AOP2.gsoh","0","1","1","0","8","NA","NA","1","194","1","595","NA","0"
"40","DTV","18","2018-06-11","2","23 C","2","gsm1_AOP2.gsoh","0","1","0","1","8","NA","NA","1","66","1","316","NA","0"
"57","DTV","19","2018-06-11","2","23 C","2","AOP2_AOP2.gsoh","1","1","0","0","8","NA","NA","1","66","1","227","NA","0"
"1","DTV","20","2018-06-11","2","20 C","2","AOP2_AOP2.gsoh","1","1","0","0","8","NA","NA","1","14","1","24","NA","0"
"23","DTV","21","2018-06-11","2","20 C","2","AOP2_AOP2.gsoh","1","1","0","0","8","NA","NA","1","76","1","122","NA","0"
"32","DTV","22","2018-06-11","2","23 C","1","Col","0","0","1","0","8","NA","NA","1","249","1","392","NA","0"
"19","DTV","23","2018-06-11","2","20 C","2","AOP2_AOP2.gsoh","1","1","0","0","8","NA","NA","1","27","1","31","NA","0"
"12","DTV","24","2018-06-11","2","20 C","4","Poly","1","1","1","1","8","NA","NA","1","52","1","99","NA","0"
"53","DTV","25","2018-06-11","2","23 C","4","Poly","1","1","1","1","8","NA","NA","1","49","1","281","NA","0"
"28","DTV","26","2018-06-11","2","20 C","2","Col_AOP2.gsoh","0","1","1","0","8","NA","NA","1","65","1","146","NA","0"
"49","DTV","27","2018-06-11","2","23 C","2","Col_gsm1","0","0","1","1","8","NA","NA","1","197","1","485","NA","0"
"46","DTV","28","2018-06-11","2","23 C","4","Poly","1","1","1","1","8","NA","NA","1","185","1","324","NA","0"
"52","DTV","29","2018-06-11","2","23 C","1","AOP2","1","0","0","0","8","NA","NA","1","70","1","335","NA","0"
"60","DTV","30","2018-06-11","2","23 C","2","gsm1_AOP2","1","0","0","1","8","NA","NA","1","108","1","487","NA","0"
"11","DTV","31","2018-06-11","2","20 C","2","gsm1_AOP2","1","0","0","1","8","NA","NA","1","100","1","178","NA","0"
"6","DTV","32","2018-06-11","2","20 C","2","Col_AOP2","1","0","1","0","8","NA","NA","1","70","1","50","NA","0"
"31","DTV","33","2018-06-11","2","23 C","2","gsm1_AOP2","1","0","0","1","8","NA","NA","1","87","1","410","NA","0"
"38","DTV","34","2018-06-11","2","23 C","4","Poly","1","1","1","1","8","NA","NA","1","142","1","430","NA","0"
"3","DTV","35","2018-06-11","2","20 C","2","gsm1_AOP2.gsoh","0","1","0","1","8","NA","NA","1","62","1","87","NA","0"
"15","DTV","36","2018-06-11","2","20 C","1","AOP2.gsoh","0","1","0","0","8","NA","NA","1","62","1","93","NA","0"
"7","DTV","37","2018-06-11","2","20 C","4","Poly","1","1","1","1","8","NA","NA","1","67","1","97","NA","0"
"36","DTV","38","2018-06-11","2","23 C","2","gsm1_AOP2.gsoh","0","1","0","1","8","NA","NA","1","187","1","582","NA","0"
"17","DTV","39","2018-06-11","2","20 C","2","gsm1_AOP2","1","0","0","1","8","NA","NA","1","91","1","62","NA","0"
"29","DTV","40","2018-06-11","2","20 C","2","gsm1_AOP2.gsoh","0","1","0","1","8","NA","NA","1","57","1","73","NA","0"
"9","DTV","41","2018-06-11","2","20 C","2","Col_gsm1","0","0","1","1","8","NA","NA","1","110","1","139","NA","0"
"4","DTV","42","2018-06-11","2","20 C","1","AOP2","1","0","0","0","8","NA","NA","1","37","1","103","NA","0"
"41","DTV","43","2018-06-11","2","23 C","2","Col_AOP2","1","0","1","0","8","NA","NA","1","78","1","641","NA","0"
"47","DTV","44","2018-06-11","2","23 C","2","gsm1_AOP2","1","0","0","1","8","NA","NA","1","71","1","470","NA","0"
"2","DTV","45","2018-06-11","2","20 C","4","Poly","1","1","1","1","8","NA","NA","1","58","1","106","NA","0"
"26","DTV","46","2018-06-11","2","20 C","1","Col","0","0","1","0","8","NA","NA","1","84","1","154","NA","0"
"25","DTV","47","2018-06-11","2","20 C","1","AOP2","1","0","0","0","8","NA","NA","1","71","1","67","NA","0"
"24","DTV","48","2018-06-11","2","20 C","1","gsm1","0","0","0","1","8","NA","NA","1","49","1","57","NA","0"
"18","DTV","49","2018-06-11","2","20 C","2","Col_AOP2.gsoh","0","1","1","0","8","NA","NA","1","96","1","190","NA","0"
"45","DTV","50","2018-06-11","2","23 C","2","Col_gsm1","0","0","1","1","8","NA","NA","1","149","1","445","NA","0"
